% Module: Sweep, ID: c0p1t8p1cfm0
% Devices: DEV30370
% Time: 2025/12/04 16:14:26
% Demod 1 Sample X, /dev30370/demods/0/sample.X
% Frequency (Hz); Demod 1 Sample X  Amplitude (V)
% Demod 1 Sample Y, /dev30370/demods/0/sample.Y
% Frequency (Hz); Demod 1 Sample Y  Amplitude (V)
178742.6975216357; -1.36015089819e-05
178798.6688213345; -1.38333887297e-05
178854.6576478269; -1.45663290855e-05
178910.6640066014; -1.4226241374e-05
178966.6879031481; -1.42314559574e-05
179022.7293429585; -1.48858585887e-05
179078.7883315263; -1.40593749009e-05
179134.8648743463; -1.36981383676e-05
179190.9589769161; -1.47585907932e-05
179247.0706447339; -1.54952447341e-05
179303.1998833002; -1.53498436121e-05
179359.3466981171; -1.55780620336e-05
179415.5110946883; -1.58127305087e-05
179471.6930785194; -1.58424800574e-05
179527.8926551172; -1.61023175306e-05
179584.1098299916; -1.67229719428e-05
179640.3446086527; -1.705505172e-05
179696.5969966131; -1.66501683787e-05
179752.866999387; -1.74328196245e-05
179809.1546224901; -1.74310364284e-05
179865.4598714401; -1.74690535582e-05
179921.7827517563; -1.76225746256e-05
179978.1232689595; -1.80004940277e-05
180034.4814285733; -1.88383015361e-05
180090.8572361215; -1.87559429985e-05
180147.2506971308; -1.92675563876e-05
180203.6618171289; -1.98612289155e-05
180260.0906016455; -1.98815220739e-05
180316.5370562123; -1.9850852415e-05
180373.0011863622; -2.05392464375e-05
180429.4829976299; -2.1040891831e-05
180485.9824955528; -2.16179560343e-05
180542.4996856688; -2.20140475407e-05
180599.0345735181; -2.09885092381e-05
180655.5871646425; -2.14064124566e-05
180712.1574645857; -2.2166626691e-05
180768.7454788928; -2.13951685478e-05
180825.3512131111; -2.22232981592e-05
180881.9746727889; -2.20143427944e-05
180938.6158634775; -2.26164069428e-05
180995.2747907287; -2.33189630794e-05
181051.9514600967; -2.31313814443e-05
181108.6458771371; -2.35472031839e-05
181165.3580474074; -2.4154145103e-05
181222.0879764669; -2.38944953896e-05
181278.8356698761; -2.44530694358e-05
181335.6011331985; -2.37626865477e-05
181392.3843719983; -2.44929483449e-05
181449.1853918415; -2.53427408459e-05
181506.0041982961; -2.56772960453e-05
181562.8407969318; -2.59371429959e-05
181619.6951933201; -2.58928094358e-05
181676.567393034; -2.62995497556e-05
181733.4574016482; -2.65875572492e-05
181790.36522474; -2.66739575398e-05
181847.2908678876; -2.72988391442e-05
181904.2343366709; -2.73405305675e-05
181961.1956366719; -2.72863006329e-05
182018.1747734744; -2.73865321417e-05
182075.1717526636; -2.79353071389e-05
182132.1865798267; -2.77175062278e-05
182189.2192605523; -2.79148627133e-05
182246.2698004317; -2.82625889509e-05
182303.338205057; -2.86732675335e-05
182360.4244800223; -2.89559862361e-05
182417.5286309235; -2.9134394281e-05
182474.6506633582; -2.86928528944e-05
182531.790582926; -2.93163997368e-05
182588.9483952278; -2.92976819968e-05
182646.1241058663; -2.96636404808e-05
182703.3177204469; -2.99171981757e-05
182760.5292445756; -3.00341168757e-05
182817.7586838606; -3.01570324829e-05
182875.0060439118; -3.02278211935e-05
182932.2713303409; -3.07408481759e-05
182989.5545487614; -3.11612613252e-05
183046.8557047881; -3.09436226468e-05
183104.1748040387; -3.17171830309e-05
183161.5118521316; -3.21513389304e-05
183218.8668546873; -3.19758436878e-05
183276.2398173278; -3.23798897359e-05
183333.6307456774; -3.27371627806e-05
183391.0396453617; -3.24155576796e-05
183448.4665220084; -3.27797588844e-05
183505.9113812461; -3.29768316663e-05
183563.3742287069; -3.34589742501e-05
183620.8550700231; -3.33295764192e-05
183678.3539108293; -3.38211674217e-05
183735.8707567618; -3.38130519936e-05
183793.4056134588; -3.42674194037e-05
183850.9584865601; -3.41057837585e-05
183908.5293817073; -3.41773567063e-05
183966.1183045435; -3.38674422477e-05
184023.7252607147; -3.4027973371e-05
184081.3502558673; -3.44440746865e-05
184138.99329565; -3.39734412385e-05
184196.6543857135; -3.42937275031e-05
184254.3335317098; -3.45020069572e-05
184312.0307392931; -3.44110754874e-05
184369.746014119; -3.47919005349e-05
184427.4793618448; -3.47972650923e-05
184485.2307881306; -3.50705859877e-05
184543.0002986371; -3.49786758955e-05
184600.7878990272; -3.52022289831e-05
184658.5935949655; -3.54192098199e-05
184716.4173921184; -3.54650351844e-05
184774.2592961541; -3.51843037885e-05
184832.1193127422; -3.52117895368e-05
184889.9974475553; -3.52396800698e-05
184947.8937062664; -3.54547776569e-05
185005.8080945509; -3.57359280979e-05
185063.7406180858; -3.56189847035e-05
185121.6912825501; -3.54285287783e-05
185179.6600936242; -3.5305829629e-05
185237.6470569907; -3.50809764298e-05
185295.6521783333; -3.49818577334e-05
185353.6754633388; -3.49574617767e-05
185411.7169176945; -3.49282296083e-05
185469.77654709; -3.4736623634e-05
185527.8543572166; -3.46135877429e-05
185585.9503537674; -3.48302624314e-05
185644.0645424372; -3.5142204321e-05
185702.1969289228; -3.46444947809e-05
185760.3475189221; -3.49732904523e-05
185818.5163181362; -3.47714839039e-05
185876.7033322668; -3.45281179788e-05
185934.9085670175; -3.44350265884e-05
185993.132028094; -3.46878109055e-05
186051.3737212037; -3.47091407024e-05
186109.6336520557; -3.40290768654e-05
186167.911826361; -3.38724358381e-05
186226.2082498319; -3.43477090398e-05
186284.5229281838; -3.35339705072e-05
186342.8558671324; -3.34596158649e-05
186401.2070723961; -3.37545766382e-05
186459.5765496946; -3.36063144768e-05
186517.9643047496; -3.34361936765e-05
186576.3703432846; -3.28554628503e-05
186634.7946710245; -3.26123822586e-05
186693.2372936971; -3.26046618542e-05
186751.6982170309; -3.20744582013e-05
186810.1774467566; -3.20578754924e-05
186868.6749886066; -3.17813687555e-05
186927.1908483151; -3.14176584297e-05
186985.7250316182; -3.1144348925e-05
187044.2775442536; -3.10141829066e-05
187102.8483919607; -3.04656118074e-05
187161.4375804817; -3.04252017004e-05
187220.0451155593; -2.98129055162e-05
187278.6710029386; -2.96472223785e-05
187337.3152483664; -2.94099275328e-05
187395.9778575914; -2.90120934859e-05
187454.6588363638; -2.88469883842e-05
187513.3581904361; -2.8332962744e-05
187572.0759255618; -2.81190138773e-05
187630.8120474975; -2.81364183788e-05
187689.5665620005; -2.78460906984e-05
187748.33947483; -2.71911060983e-05
187807.1307917476; -2.6964823327e-05
187865.9405185161; -2.69863479343e-05
187924.7686609003; -2.64037227335e-05
187983.6152246666; -2.62043346186e-05
188042.4802155842; -2.58734465736e-05
188101.3636394229; -2.57488329079e-05
