% Module: Sweep, ID: c0p1t8p1cfm0
% Devices: DEV30370
% Time: 2025/12/04 16:32:43
% Demod 1 Sample X, /dev30370/demods/0/sample.X
% Frequency (Hz); Demod 1 Sample X  Amplitude (V)
% Demod 1 Sample Y, /dev30370/demods/0/sample.Y
% Frequency (Hz); Demod 1 Sample Y  Amplitude (V)
170589.457169766; -3.06486685417e-05
170642.7746514354; -3.05989059233e-05
170696.1087974046; -3.07592917357e-05
170749.4596128819; -3.04988661886e-05
170802.8271030774; -3.05948650356e-05
170856.2112732028; -3.06134256784e-05
170909.6121284713; -3.03202058331e-05
170963.0296740979; -3.04923719173e-05
171016.4639152991; -3.06250289079e-05
171069.9148572931; -3.03828888331e-05
171123.3825052996; -3.0514112093e-05
171176.8668645403; -3.06059253278e-05
171230.367940238; -3.04552964641e-05
171283.8857376172; -3.02920702784e-05
171337.4202619048; -3.03266569749e-05
171390.9715183286; -3.02440691509e-05
171444.5395121181; -3.01554550746e-05
171498.1242485046; -3.01103184118e-05
171551.7257327209; -3.01313589386e-05
171605.3439700015; -2.99423329453e-05
171658.9789655826; -3.00628299017e-05
171712.6307247021; -2.98000395803e-05
171766.2992525991; -2.98707260881e-05
171819.984554515; -2.95053257759e-05
171873.6866356923; -2.96769133733e-05
171927.4055013753; -2.97284003467e-05
171981.1411568101; -2.93899935993e-05
172034.8936072442; -2.93558334964e-05
172088.662857927; -2.93136437965e-05
172142.4489141093; -2.92401197358e-05
172196.2517810432; -2.92577039728e-05
172250.0714639837; -2.91446950862e-05
172303.9079681863; -2.88860114631e-05
172357.7612989083; -2.87743278961e-05
172411.6314614089; -2.87559840757e-05
172465.5184609489; -2.850951954e-05
172519.4223027906; -2.83720747115e-05
172573.3429921981; -2.82611712937e-05
172627.280534437; -2.83402598747e-05
172681.2349347748; -2.81481183963e-05
172735.2061984802; -2.79121539989e-05
172789.194330824; -2.76404280685e-05
172843.1993370785; -2.7500889053e-05
172897.2212225175; -2.75992120715e-05
172951.2599924167; -2.71053567161e-05
173005.3156520532; -2.70306911355e-05
173059.3882067059; -2.70252802123e-05
173113.4776616549; -2.66013564233e-05
173167.5840221831; -2.59355342957e-05
173221.7072935741; -2.59172548757e-05
173275.8474811132; -2.57398326407e-05
173330.0045900875; -2.62355899809e-05
173384.1786257859; -2.60614407063e-05
173438.3695934988; -2.5476501086e-05
173492.5774985182; -2.5096929521e-05
173546.8023461378; -2.50344470671e-05
173601.0441416532; -2.46866812312e-05
173655.3028903611; -2.45399830225e-05
173709.5785975605; -2.42210437525e-05
173763.8712685517; -2.39545710936e-05
173818.1809086365; -2.38384932007e-05
173872.5075231188; -2.38549319808e-05
173926.8511173038; -2.37271196485e-05
173981.2116964985; -2.35330484509e-05
174035.5892660112; -2.30394222573e-05
174089.9838311529; -2.28088530944e-05
174144.3953972352; -2.25784886493e-05
174198.8239695718; -2.23058978384e-05
174253.2695534778; -2.20150438251e-05
174307.7321542703; -2.17213332209e-05
174362.2117772679; -2.16343548316e-05
174416.7084277908; -2.14548174326e-05
174471.2221111609; -2.11052395726e-05
174525.7528327018; -2.12214272869e-05
174580.3005977389; -2.09005612944e-05
174634.8654115989; -2.07741079508e-05
174689.4472796105; -2.04621895543e-05
174744.046207104; -2.02690457571e-05
174798.6621994113; -1.99322389708e-05
174853.2952618658; -1.99235929871e-05
174907.945399803; -2.01554676089e-05
174962.6126185593; -2.00264133955e-05
175017.2969234741; -2.00612860743e-05
175071.9983198872; -1.95662143982e-05
175126.7168131406; -1.93823666406e-05
175181.4524085778; -1.91118844715e-05
175236.2051115442; -1.89328657422e-05
175290.9749273866; -1.87548021478e-05
175345.7618614537; -1.85611787559e-05
175400.5659190957; -1.85073708428e-05
175455.3871056646; -1.74276898919e-05
175510.225426514; -1.78682564152e-05
175565.0808869992; -1.76949767218e-05
175619.9534924772; -1.73144061874e-05
175674.8432483065; -1.7272135517e-05
175729.7501598476; -1.69647034048e-05
175784.6742324624; -1.72347823078e-05
175839.6154715146; -1.72185608788e-05
175894.5738823691; -1.68811189617e-05
175949.5494703938; -1.6831883298e-05
176004.5422409569; -1.68167506818e-05
176059.5521994289; -1.68968378209e-05
176114.5793511817; -1.65099576375e-05
176169.6237015891; -1.63883114636e-05
176224.6852560266; -1.6348704183e-05
176279.7640198712; -1.63276369206e-05
176334.8599985017; -1.64932406313e-05
176389.9731972985; -1.62790783421e-05
176445.1036216438; -1.59639042605e-05
176500.2512769215; -1.62733075173e-05
176555.4161685169; -1.59175738993e-05
176610.5983018174; -1.58029930798e-05
176665.7976822117; -1.57707580542e-05
176721.0143150905; -1.59289315143e-05
176776.2482058459; -1.55763412921e-05
176831.4993598718; -1.54267778549e-05
176886.7677825637; -1.49360497952e-05
