% Module: Sweep, ID: c0p1t8p1cfm0
% Devices: DEV30370
% Time: 2025/11/21 14:18:39
% Demod 1 Sample X, /dev30370/demods/0/sample.X
% Frequency (Hz); Demod 1 Sample X  Amplitude (A)
% Demod 1 Sample Y, /dev30370/demods/0/sample.Y
% Frequency (Hz); Demod 1 Sample Y  Amplitude (A)
155073.7840395903; 2.23266536578e-08
155140.668466214; 2.23163787418e-08
155207.5817405666; 2.22985621459e-08
155274.5238750905; 2.2189065174e-08
155341.4948822338; 2.21170400011e-08
155408.4947744488; 2.22063466472e-08
155475.5235641941; 2.21124576731e-08
155542.5812639337; 2.1994460028e-08
155609.6678861361; 2.19782563982e-08
155676.783443276; 2.18962851984e-08
155743.9279478338; 2.19337642581e-08
155811.1014122938; 2.18813336541e-08
155878.3038491471; 2.17950888645e-08
155945.5352708899; 2.18012443065e-08
156012.7956900231; 2.1746772517e-08
156080.0851190537; 2.16798146642e-08
156147.4035704942; 2.16631049416e-08
156214.7510568616; 2.15948189545e-08
156282.1275906791; 2.15067278408e-08
156349.5331844754; 2.14382392441e-08
156416.9678507838; 2.1435053645e-08
156484.4316021436; 2.13125674661e-08
156551.9244510994; 2.11658449558e-08
156619.4464102016; 2.10991384873e-08
156686.997492005; 2.11162713306e-08
156754.5777090707; 2.09869279555e-08
156822.1870739653; 2.09827832257e-08
156889.8255992597; 2.09334987062e-08
156957.4932975315; 2.07939734533e-08
157025.1901813634; 2.06824963674e-08
157092.9162633427; 2.05711562019e-08
157160.6715560631; 2.0390298446e-08
157228.4560721238; 2.03794326282e-08
157296.2698241284; 2.01713572196e-08
157364.1128246867; 2.01039843502e-08
157431.9850864144; 2.00441902635e-08
157499.8866219311; 1.98631472498e-08
157567.8174438634; 1.97537327e-08
157635.7775648429; 1.96827023548e-08
157703.7669975059; 1.94188897498e-08
157771.7857544951; 1.92853736022e-08
157839.8338484585; 1.91865930622e-08
157907.9112920488; 1.90612422254e-08
157976.0180979249; 1.89071694351e-08
158044.1542787514; 1.87640226533e-08
158112.3198471973; 1.86723874342e-08
158180.514815938; 1.85150850626e-08
158248.7391976543; 1.83610190956e-08
158316.9930050316; 1.82203005232e-08
158385.2762507617; 1.80731543611e-08
158453.5889475417; 1.78867918494e-08
158521.9311080743; 1.76086162464e-08
158590.3027450667; 1.75263639388e-08
158658.7038712327; 1.73869834356e-08
158727.1344992915; 1.72057188235e-08
158795.5946419669; 1.70662839845e-08
158864.084311989; 1.68390245373e-08
158932.6035220935; 1.66611316444e-08
159001.1522850206; 1.64748981365e-08
159069.7306135169; 1.65548973202e-08
159138.3385203347; 1.64034452391e-08
159206.9760182307; 1.59784458898e-08
159275.6431199679; 1.5682081538e-08
159344.3398383151; 1.54231927843e-08
159413.0661860455; 1.52374638509e-08
159481.8221759387; 1.50404826693e-08
159550.60782078; 1.48401009135e-08
159619.4231333591; 1.46331714682e-08
159688.2681264722; 1.43764074282e-08
159757.1428129211; 1.42836084944e-08
159826.0472055121; 1.40156954918e-08
159894.9813170579; 1.38556262367e-08
159963.945160377; 1.3614446507e-08
160032.9387482921; 1.34160409475e-08
160101.9620936327; 1.32344772073e-08
160171.0152092337; 1.29816674531e-08
160240.0981079344; 1.2755203648e-08
160309.2108025811; 1.24767161952e-08
160378.3533060247; 1.22590280353e-08
160447.5256311225; 1.19771579473e-08
160516.727790736; 1.17557638492e-08
160585.9597977334; 1.15039799833e-08
160655.2216649885; 1.12665469936e-08
160724.5134053795; 1.10758614237e-08
160793.8350317912; 1.08027104456e-08
160863.186557114; 1.06141772635e-08
160932.5679942429; 1.00690076428e-08
161001.9793560794; 1.00594367929e-08
161071.4206555305; 9.76861015085e-09
161140.8919055079; 9.63624578989e-09
161210.3931189299; 9.29000206153e-09
161279.9243087201; 8.97210535329e-09
161349.4854878069; 8.59728473985e-09
161419.0766691253; 8.39786934414e-09
161488.6978656158; 8.06503403819e-09
161558.3490902234; 7.98427363463e-09
161628.0303558999; 7.67102518716e-09
161697.7416756025; 7.43418983512e-09
161767.4830622931; 7.0385361325e-09
161837.25452894; 6.75232370387e-09
161907.0560885173; 6.42513073652e-09
161976.8877540037; 6.12524469224e-09
162046.7495383844; 5.71665138849e-09
162116.6414546501; 6.01297856868e-09
162186.5635157964; 5.73563507953e-09
162256.5157348253; 5.43840992766e-09
162326.498124744; 5.09415817895e-09
162396.5106985659; 4.94320701079e-09
162466.5534693088; 4.09421680485e-09
162536.6264499971; 3.74300431194e-09
162606.729653661; 3.4271759884e-09
162676.8630933352; 3.38001831954e-09
162747.026782061; 3.17695283356e-09
162817.2207328854; 2.63201372139e-09
162887.44495886; 2.43136862815e-09
162957.699473043; 2.2050193994e-09
163027.9842884983; 1.21431221937e-09
163098.2994182943; 9.3831758412e-10
163168.6448755062; 5.70373543118e-10
163239.0206732147; 2.36685991052e-10
163309.4268245053; -1.07128615599e-10
163379.86334247; -4.81415955838e-10
163450.3302402064; -1.02262789787e-09
163520.827530817; -1.41296383961e-09
163591.3552274107; -1.80348475802e-09
163661.9133431021; -2.14035396022e-09
163732.5018910107; -2.57320793903e-09
163803.1208842623; -2.59074017797e-09
163873.7703359886; -2.21600459232e-09
163944.4502593259; -2.62073116865e-09
164015.160667417; -2.84087158803e-09
164085.9015734108; -3.392321212e-09
164156.6729904603; -3.65044781478e-09
164227.4749317257; -4.09263542419e-09
164298.3074103722; -4.60254231881e-09
164369.1704395711; -5.56499712274e-09
164440.0640324985; -6.00868238469e-09
164510.988202337; -5.93184168221e-09
164581.9429622751; -6.336222905e-09
164652.9283255057; -6.38522107432e-09
164723.9443052286; -6.36303838144e-09
164794.9909146493; -7.13963095552e-09
164866.0681669779; -7.70513722633e-09
164937.1760754313; -7.79808843913e-09
165008.3146532319; -8.24302001301e-09
165079.4839136071; -8.51990490945e-09
165150.6838697907; -9.14987183544e-09
165221.9145350224; -9.59494968986e-09
165293.1759225466; -1.03102155463e-08
165364.4680456144; -1.01795278162e-08
165435.7909174826; -1.11471324561e-08
165507.1445514126; -1.02884413593e-08
165578.5289606727; -1.09718775179e-08
165649.9441585368; -1.17648445021e-08
165721.3901582837; -1.21487402262e-08
165792.8669731987; -1.251459172e-08
